Workout.1,Workout.2,Workout.3,Workout.4,Workout.5,Workout.6,Workout.7,Workout.8,,
97,112,114,90,124,195,136,118,,
96,112,119,90,118,194,139,119,,
94,116,120,93,127,191,139,119,,
94,121,121,96,133,188,138,119,,
97,123,122,102,136,186,138,119,,
98,129,124,103,139,186,139,119,,
99,137,126,103,145,187,140,119,,
102,143,128,103,154,188,141,119,,
110,148,127,103,162,190,141,117,,
112,153,127,104,168,191,141,115,,
114,154,127,108,173,192,141,112,,
115,154,126,110,176,193,139,111,,
116,154,123,111,177,193,139,110,,
117,155,121,112,179,194,140,109,,
116,157,120,109,180,195,141,106,,
117,160,117,107,180,196,141,104,,
119,162,115,105,181,196,141,103,,
120,165,110,104,182,196,142,101,,
123,166,107,97,183,197,143,101,,
124,168,105,93,183,197,145,100,,
125,168,101,89,183,197,144,99,,
126,168,99,87,184,197,141,99,,
127,168,98,89,185,198,140,97,,
129,168,97,92,186,199,141,94,,
132,169,97,102,187,199,142,92,,
136,170,101,103,188,199,143,91,,
143,170,104,103,188,198,143,91,,
145,171,111,103,188,198,142,91,,
149,171,114,103,189,199,142,89,,
150,172,116,103,189,199,139,89,,
151,172,119,104,189,199,138,87,,
151,172,121,104,189,199,136,86,,
146,171,124,102,189,200,134,85,,
143,171,127,100,190,200,132,83,,
141,172,130,99,190,201,131,83,,
141,172,133,99,191,201,128,85,,
140,172,135,102,191,201,128,85,,
140,172,135,103,191,201,131,88,,
140,173,135,103,191,202,133,86,,
139,173,135,103,191,202,132,85,,
137,173,138,103,191,202,132,86,,
138,173,140,107,192,202,134,85,,
140,173,140,108,193,202,132,86,,
140,173,140,109,194,202,121,88,,
141,173,141,106,195,202,120,90,,
142,173,143,103,195,202,118,93,,
145,173,144,103,196,202,116,95,,
147,173,143,103,195,202,110,95,,
148,174,142,108,195,202,110,97,,
149,173,142,110,196,202,119,97,,
148,174,143,111,196,202,122,99,,
147,174,143,109,196,202,128,100,,
147,174,143,109,196,203,129,100,,
149,173,143,109,197,203,130,99,,
150,173,143,113,197,204,131,97,,
150,173,143,118,196,204,134,98,,
147,174,142,122,197,205,135,98,,
146,174,142,123,197,205,137,95,,
144,174,144,123,196,205,137,92,,
140,175,146,125,197,205,138,91,,
130,175,147,126,197,205,137,89,,
125,176,147,126,197,204,135,88,,
124,176,148,127,197,203,132,86,,
126,177,148,130,198,203,129,85,,
128,177,148,131,198,203,129,84,,
126,177,148,128,198,203,129,83,,
121,177,150,127,198,204,129,82,,
119,176,151,127,198,205,127,84,,
116,176,150,126,198,205,126,83,,
114,177,150,123,198,205,126,82,,
112,177,150,121,199,205,127,83,,
112,177,150,121,199,204,127,82,,
112,177,151,122,198,203,127,82,,
113,177,151,120,198,200,129,84,,
115,177,150,119,198,171,132,87,,
116,177,148,112,198,173,133,96,,
119,177,147,111,197,173,132,108,,
121,176,147,109,197,176,130,116,,
122,175,149,107,197,178,130,118,,
121,176,149,104,197,182,129,116,,
120,176,149,99,197,183,127,113,,
119,176,149,98,196,186,126,113,,
120,177,148,104,196,188,126,117,,
119,179,148,105,196,190,126,119,,
119,179,150,101,195,191,125,119,,
119,179,150,96,195,193,125,118,,
122,178,151,96,195,192,126,118,,
123,177,152,97,196,192,127,116,,
124,176,152,96,195,192,124,111,,
124,176,152,93,196,193,123,107,,
123,176,151,89,196,193,124,103,,
123,176,151,90,196,194,124,100,,
123,175,151,94,196,194,124,97,,
122,176,151,100,195,194,124,95,,
121,177,152,102,195,194,123,91,,
122,177,152,104,195,195,120,92,,
126,177,152,103,195,195,120,97,,
127,177,152,99,194,196,123,106,,
126,177,151,94,194,196,125,106,,
125,177,152,94,195,196,127,101,,
120,178,156,89,195,196,127,95,,
118,178,157,89,195,197,125,93,,
113,179,154,88,195,198,125,90,,
110,179,153,92,195,199,126,90,,
109,179,153,92,195,198,127,93,,
111,179,151,91,196,199,128,100,,
117,179,151,88,195,199,128,100,,
117,180,152,86,195,200,130,100,,
113,180,154,86,196,200,131,98,,
111,180,155,85,196,200,134,100,,
108,180,155,81,196,201,135,101,,
107,180,154,81,196,201,136,99,,
108,179,152,80,195,202,136,97,,
109,178,153,84,195,202,138,94,,
112,177,155,89,,203,140,96,,
114,177,157,94,,203,145,102,,
114,176,157,101,,204,147,105,,
111,174,155,108,,203,144,108,,
108,174,153,109,,203,142,108,,
109,173,153,109,,203,140,108,,
115,174,153,108,,204,140,107,,
116,174,153,108,,203,139,105,,
117,175,152,109,,203,138,104,,
118,175,152,111,,203,137,100,,
119,175,152,114,,203,137,97,,
120,175,153,115,,204,136,96,,
120,176,152,115,,204,136,96,,
121,176,152,114,,204,133,95,,
123,175,154,114,,204,130,91,,
124,174,154,116,,203,129,88,,
125,173,152,117,,203,130,87,,
125,173,152,118,,203,132,94,,
126,173,153,117,,203,133,96,,
126,174,154,116,,203,134,99,,
125,176,155,116,,203,134,92,,
125,176,157,120,,202,135,86,,
124,177,157,123,,203,135,82,,
123,178,157,124,,203,133,82,,
123,178,156,125,,203,131,81,,
123,178,155,127,,204,130,80,,
122,179,156,129,,204,130,79,,
122,179,157,132,,205,123,77,,
125,179,158,137,,204,119,78,,
127,179,156,139,,203,117,76,,
129,178,156,142,,,117,74,,
128,177,155,144,,,120,76,,
126,177,157,145,,,120,75,,
125,177,159,147,,,117,72,,
124,177,161,148,,,116,72,,
124,177,161,147,,,112,71,,
124,177,161,145,,,109,74,,
124,175,161,145,,,108,80,,
124,175,160,146,,,112,93,,
123,175,158,148,,,122,100,,
122,175,157,150,,,123,103,,
122,173,158,150,,,119,107,,
