Workout.1,Workout.2,Workout.3
94,101,72
94,99,72
93,98,72
92,101,72
96,102,72
102,99,72
112,99,72
117,101,72
120,101,72
125,100,72
129,99,72
135,100,72
143,103,149
153,104,151
148,105,151
145,103,152
144,103,154
142,100,157
139,100,158
140,101,159
140,99,161
141,98,160
142,97,158
146,96,157
149,96,157
152,99,156
151,102,158
150,103,158
148,101,158
148,102,157
148,107,156
149,109,156
151,113,155
151,120,156
152,124,158
153,123,159
155,122,162
159,123,163
161,125,162
161,124,163
160,123,163
159,127,164
157,128,164
156,129,163
158,132,162
160,130,162
160,129,163
160,131,163
161,134,162
161,136,161
161,135,161
160,134,162
160,136,164
160,137,164
159,138,166
159,139,166
160,142,167
159,141,167
162,140,166
164,142,165
162,142,165
159,141,165
157,138,164
158,139,164
160,142,163
161,144,164
162,141,165
160,139,164
160,141,165
162,142,165
163,140,165
162,141,165
161,141,166
161,139,167
160,139,168
161,140,168
161,141,172
162,141,171
162,141,170
164,139,168
163,140,168
164,143,168
164,144,167
166,141,166
166,143,166
168,144,165
167,143,164
166,142,163
165,141,162
164,139,163
162,138,162
162,138,161
163,139,162
162,142,163
164,143,165
166,141,167
168,142,169
166,143,170
166,143,170
167,144,170
167,143,169
166,142,169
166,142,168
167,144,166
168,145,165
167,145,164
168,146,164
168,146,163
170,144,162
167,144,163
167,145,163
168,145,164
171,146,165
172,145,167
174,145,168
174,145,169
169,146,171
169,146,171
169,146,171
169,144,172
166,144,171
164,144,169
164,144,169
167,145,169
164,144,168
157,144,167
154,145,166
153,146,166
151,147,166
148,146,166
144,146,166
142,146,166
140,147,167
136,147,166
135,147,166
135,149,168
135,147,169
132,148,169
129,149,170
126,148,170
128,149,170
130,150,169
130,150,170
130,150,169
130,150,169
126,150,168
122,147,167
123,143,168
125,144,167
122,145,166
121,145,166
122,144,166
124,144,167
123,144,168
123,143,167
122,142,167
118,141,168
117,142,168
116,143,168
121,142,171
124,141,170
123,139,169
123,139,166
123,140,163
123,139,161
123,138,158
123,137,155
123,136,153
123,137,150
123,137,149
123,137,149
123,137,149
123,136,148
123,136,146
123,138,130
123,137,134
123,137,137
123,136,138
123,135,140
123,136,140
123,137,142
123,135,144
123,132,146
123,132,148
123,133,150
123,135,151
123,136,153
123,137,155
123,137,156
123,137,156
123,135,156
123,134,157
123,134,157
123,135,158
123,136,159
123,136,159
123,136,160
123,136,161
123,135,162
123,134,162
123,135,162
,135,162
,135,164
,136,166
,135,167
,134,169
,134,172
,134,173
